quantizer,bits,ce_nats,bpc,ppl,delta_ce,delta_bpc,delta_ppl,ppl_ratio,n_tokens,wall_s
fp32,0,1.4287583867576827,2.0612626392038247,4.173514083286782,0.0,0.0,0.0,1.0,1806.0,17.630526542663574
cart,6,6.34180120085825,9.14928514278187,567.8181453719764,4.913042814100567,7.0880225035780455,563.6446312886895,136.0527684921098,1806.0,16.885879278182983
polar,6,9.924580824335548,14.318143538170595,20426.346145963133,8.495822437577866,12.25688089896677,20422.172631879846,4894.279913361812,1806.0,16.519992113113403
log_polar,6,8.015769916251385,11.564311507082815,3028.340068624353,6.587011529493702,9.50304886787899,3024.1665545410665,725.609164888557,1806.0,16.48667621612549
log_polar_zf25,6,3.480549859842193,5.021372022361109,32.47757528145264,2.05179147308451,2.9601093831572842,28.304061198165854,7.781829564565758,1806.0,17.13952326774597
log_polar_zf50,6,4.184482713870432,6.036932459986464,65.65952736769113,2.755724327112749,3.9756698207826395,61.48601328440434,15.732432203986251,1806.0,17.466796398162842
cart,8,2.3327204132924972,3.365404172037539,10.305939848036447,0.9039620265348145,1.3041415328337145,6.132425764749665,2.4693674544690105,1806.0,16.375657558441162
polar,8,7.2007868736157254,10.388539513063751,1340.4851418995274,5.7720284868580425,8.327276873859926,1336.3116278162406,321.1885991394213,1806.0,17.06882667541504
log_polar,8,5.1641284693383165,7.450262533227903,174.8849745166257,3.7353700825806335,5.388999894024078,170.7114604333389,41.90353046057004,1806.0,16.44168257713318
log_polar_zf25,8,2.91148212555371,4.2003808241731955,18.38402581937748,1.4827237387960273,2.139118184969371,14.210511736090698,4.404927227392856,1806.0,16.655059576034546
log_polar_zf50,8,6.391947631160022,9.22163114909652,597.0182193851558,4.963189244402339,7.160368509892695,592.844705301869,143.04928831460515,1806.0,16.809135913848877
cart,10,2.103441139128253,3.034624100222163,8.194319244488126,0.6746827523705703,0.9733614610183383,4.020805161201344,1.9634099899897368,1806.0,16.203628540039062
polar,10,1.6679264376989895,2.4063092002359268,5.3011640986701725,0.23916805094130678,0.3450465610321021,1.1276500153833906,1.2701919756061608,1806.0,16.386089324951172
log_polar,10,4.196497785160576,6.054266543752681,66.45318967663943,2.7677393984028926,3.9930039045488566,62.27967559335264,15.922598642414384,1806.0,16.283804416656494
log_polar_zf25,10,1.7326212700287238,2.4996441140091776,5.655458981030224,0.30386288327104105,0.43838147480535294,1.4819448977434417,1.3550832387694642,1806.0,16.670084714889526
log_polar_zf50,10,3.002893458437154,4.332259500805191,20.143737749693816,1.574135071679471,2.270996861601366,15.970223666407033,4.826565179296089,1806.0,16.931560039520264
fp4_like,8,7.7592454405454045,11.194224918115156,2343.1359027153967,6.330487053787722,9.13296227891133,2338.96238863211,561.4299738675134,1806.0,17.154289722442627
