bits,quantizer,layer,mse,rmse,max_err,p99_err,p999_err,rel_med,rel_p95,rel_p99,cos_med,cos_p01,n_pairs
6,cart,ALL,9.877724647521973,3.1428847312927246,3.806891679763794,3.799640655517578,3.804870367050171,5.813508987426758,188.5515899658203,460.62255859375,0.9282059073448181,0.6989108324050903,23592960
6,cart,0,1.318237543106079,1.148145318031311,1.8700377941131592,1.8155280351638794,1.8525662422180176,0.46636512875556946,5.438448429107666,18.96503448486328,0.9656001329421997,0.5941455364227295,786432
6,cart,1,5.175297260284424,2.274927854537964,3.164537191390991,3.1322274208068848,3.154451847076416,1.5556684732437134,38.941734313964844,84.99008178710938,0.9354711174964905,0.7138249278068542,786432
6,cart,2,5.2723002433776855,2.2961490154266357,3.131892204284668,3.094087600708008,3.1197545528411865,1.6884582042694092,32.36198806762695,69.68592834472656,0.9311621189117432,0.6168639659881592,786432
6,cart,3,3.6183278560638428,1.9021903276443481,2.729332447052002,2.677509069442749,2.713837146759033,1.6194888353347778,18.70865249633789,44.53384017944336,0.9355905055999756,0.6719063520431519,786432
6,cart,4,3.25653338432312,1.8045867681503296,2.6883695125579834,2.6086227893829346,2.6685502529144287,0.9791109561920166,9.077326774597168,27.542612075805664,0.9297488331794739,0.6882674694061279,786432
6,cart,5,3.0332791805267334,1.7416311502456665,2.6914117336273193,2.5653090476989746,2.666252374649048,1.04021155834198,7.421032905578613,16.87067222595215,0.9449493288993835,0.6625890135765076,786432
6,cart,6,3.123769760131836,1.7674189805984497,2.6158254146575928,2.5281920433044434,2.5942742824554443,1.1679545640945435,8.61197566986084,24.39764976501465,0.9401204586029053,0.681830644607544,786432
6,cart,7,3.9705140590667725,1.9926148653030396,2.866849422454834,2.7860443592071533,2.8457863330841064,1.4771738052368164,12.181352615356445,28.718101501464844,0.9405894875526428,0.6847321391105652,786432
6,cart,8,5.294532299041748,2.300985097885132,3.0478975772857666,2.991520404815674,3.0315003395080566,2.8938584327697754,17.387968063354492,44.92270278930664,0.932449996471405,0.6080952882766724,786432
6,cart,9,5.024007320404053,2.2414298057556152,3.3251383304595947,3.2089860439300537,3.298078775405884,1.4063339233398438,6.936959743499756,20.878026962280273,0.9295943379402161,0.691662073135376,786432
6,cart,10,4.426694393157959,2.103971004486084,3.0148446559906006,2.9417665004730225,2.994638681411743,1.2332230806350708,9.446208000183105,26.810911178588867,0.9335591793060303,0.416795015335083,786432
6,cart,11,5.847417831420898,2.4181435108184814,3.3341381549835205,3.2967662811279297,3.3211350440979004,1.257063388824463,28.82362937927246,77.15696716308594,0.9479719400405884,0.6876804828643799,786432
6,cart,12,6.192269802093506,2.48842716217041,2.8993844985961914,2.892195463180542,2.8969457149505615,19.83341407775879,140.92684936523438,350.9361877441406,0.9329454898834229,0.6486819982528687,786432
6,cart,13,6.432133197784424,2.5361649990081787,2.889110803604126,2.8814451694488525,2.885732650756836,29.97273063659668,137.27386474609375,261.166748046875,0.9334385395050049,0.4344787895679474,786432
6,cart,14,5.519277095794678,2.3493142127990723,2.693082094192505,2.688007116317749,2.691694736480713,22.12620735168457,214.8166961669922,463.56378173828125,0.9285578727722168,0.7133951187133789,786432
6,cart,15,5.937313079833984,2.4366602897644043,2.8177127838134766,2.8141229152679443,2.8167550563812256,19.404937744140625,232.54278564453125,686.0485229492188,0.9433711767196655,0.7132890224456787,786432
6,cart,16,4.814253807067871,2.194140672683716,2.5386648178100586,2.532148599624634,2.536802291870117,18.886674880981445,159.33447265625,311.22576904296875,0.9261121153831482,0.48734143376350403,786432
