quantizer,bits,ce_nats,bpc,ppl,delta_ce,delta_bpc,delta_ppl,ppl_ratio,n_tokens,wall_s
fp32,0,1.8575496230014534,2.6798776293093605,6.408015464031072,0.0,0.0,0.0,1.0,903.0,8.437734842300415
cart,6,7.842453864721761,11.31426929903457,2546.445806974878,5.984904241720307,8.634391669725211,2540.037791510847,397.38446657445996,903.0,6.09405255317688
polar,6,6.271561158983943,9.047950182697974,529.3030594263583,4.414011535982489,6.368072553388614,522.8950439623272,82.6001532607712,903.0,6.122614860534668
log_polar,6,7.3275502015849945,10.571420337691595,1521.6494677064386,5.470000578583541,7.891542708382235,1515.2414522424076,237.46033015176573,903.0,6.0675718784332275
cart,8,5.0195972193383165,7.24174801559942,151.35033052917453,3.162047596336863,4.561870386290059,144.94231506514345,23.618908440330916,903.0,6.219243049621582
polar,8,4.048515581741418,5.84077335274004,57.31231841851148,2.190965958739964,3.16089572343068,50.90430295448041,8.94384833186064,903.0,6.249541997909546
log_polar,8,4.890818041424419,7.055958934253282,133.06238008023305,3.0332684184229652,4.376081304943922,126.65436461620199,20.764990475932446,903.0,6.1727306842803955
cart,10,3.1259208670750276,4.509750533140471,22.78086358466422,1.2683712440735742,1.8298729038311103,16.37284812063315,3.555057523274691,903.0,6.2750630378723145
polar,10,2.655802544037237,3.8315131598628147,14.236406819290629,0.7982529210357836,1.1516355305534542,7.828391355259557,2.2216561272676727,903.0,6.256203651428223
log_polar,10,2.4099004836309526,3.47675147677029,11.132853188809838,0.5523508606294991,0.7968738474609296,4.724837724778766,1.7373324473543834,903.0,6.25007438659668
fp4_like,8,4.494037885866556,6.483526171506801,89.4820356255636,2.636488262865102,3.8036485421974406,83.07402016153253,13.964079226686726,903.0,6.341838359832764
polar_hyb1pct,8,3.642402927740864,5.254876640771186,38.18347871701333,1.7848533047394104,2.5749990114618253,31.775463252982256,5.958705769569625,903.0,6.271830320358276
log_polar_hyb1pct,8,4.404489375692138,6.354334979959174,81.8173542450561,2.546939752690684,3.6744573506498135,75.40933878102503,12.767970786635319,903.0,6.277731895446777
log_polar_zf25,6,5.784504667601052,8.345276197947099,325.22090775646114,3.926955044599598,5.665398568637738,318.8128922924301,50.75220395174817,903.0,6.290181636810303
log_polar_zf25,8,4.011960186963593,5.788035065976334,55.25507475580252,2.1544105639621396,3.108157436666974,48.847059291771444,8.62280608808696,903.0,6.233803749084473
log_polar_zf25,10,2.399466783897425,3.4616988299066054,11.017300212266946,0.5419171608959716,0.7818212005972449,4.609284748235874,1.7192998790512164,903.0,6.406839847564697
log_polar_zf50,6,6.507616214181894,9.388505640208828,670.226834593704,4.65006659118044,6.708628010899468,663.8188191296729,104.59195024665036,903.0,6.309577465057373
log_polar_zf50,8,3.5115965445044295,5.0661629203593606,33.50171208380742,1.654046921502976,2.38628529105,27.093696619776345,5.228094762232766,903.0,6.609875202178955
log_polar_zf50,10,3.8302598110465116,5.525896834713101,46.074507345264394,1.9727101880450582,2.8460192054037403,39.66649188123332,7.1901367285840525,903.0,6.398699045181274
log_polar_zf75,6,6.842554981658361,9.87172013904859,936.8797900681492,4.985005358656907,7.191842509739229,930.4717746041181,146.20435848305348,903.0,6.585609674453735
log_polar_zf75,8,7.412976709579181,10.69466473713527,1657.3524683791882,5.555427086577727,8.01478710782591,1650.9444529151572,258.637401498498,903.0,6.332937955856323
log_polar_zf75,10,6.754667060319767,9.744924670779362,858.054022094309,4.897117437318314,7.0650470414700015,851.6460066302778,133.90323835993607,903.0,6.192286014556885
