quantizer,bits,ce_nats,bpc,ppl,delta_ce,delta_bpc,delta_ppl,ppl_ratio,n_tokens,wall_s
fp32,0,2.164785719235033,3.12312562172763,8.712734745342729,0.0,0.0,0.0,1.0,1804.0,3.921490430831909
cart,6,5.663020436356708,8.170011499984676,288.01726790923345,3.4982347171216746,5.046885878257046,279.3045331638907,33.05704538557071,1804.0,3.88040828704834
polar,6,3.8437581199764415,5.545370778066697,46.70065171713169,1.6789724007414084,2.4222451563390672,37.98791697178896,5.360045161720879,1804.0,3.893232583999634
log_polar,6,6.471621223669623,9.336575845899931,646.5310492039803,4.30683550443459,6.213450224172301,637.8183144586376,74.20529467508172,1804.0,3.9362361431121826
cart,8,2.6675795324625833,3.8485037626606684,14.405059981480226,0.5027938132275502,0.7253781409330382,5.692325236137497,1.6533339304493633,1804.0,3.8743653297424316
polar,8,2.8393514087617793,4.096318196761711,17.10466800085448,0.6745656895267462,0.9731925750340809,8.391933255511752,1.9631801610851911,1804.0,3.9233784675598145
log_polar,8,3.842997548849778,5.544273505874017,46.665146053842015,1.678211829614745,2.4211478841463867,37.952411308499286,5.355970016048775,1804.0,3.9717559814453125
cart,10,2.2289830649771343,3.215742814067994,9.29041352708981,0.06419734574210123,0.09261719234036381,0.5776787817470801,1.0663028083181196,1804.0,4.139310598373413
polar,10,2.2659190784801138,3.2690302175789503,9.639980429447704,0.10113335924508071,0.1459045958513201,0.9272456841049745,1.1064241838190496,1804.0,3.981558322906494
log_polar,10,2.404763232313609,3.469339989770958,11.075807578377674,0.23997751307857573,0.3462143680433276,2.363072833034945,1.2712205641630594,1804.0,3.9625909328460693
fp4_like,8,2.3313134440825944,3.3633743445357287,10.291449903834135,0.1665277248475614,0.2402487228080985,1.5787151584914056,1.1811962839033159,1804.0,4.577598571777344
polar_hyb1pct,8,2.364342260254989,3.4110248538340753,10.63704011204798,0.1995565410199558,0.2878992321064451,1.9243053667052514,1.2208612362190714,1804.0,4.127799034118652
log_polar_hyb1pct,8,2.9150011692766076,4.205457731100892,18.448833974524316,0.7502154500415745,1.0823321093732616,9.736099229181587,2.117456173492012,1804.0,4.075302600860596
log_polar_zf25,6,4.156496035286169,5.996556217581994,63.84741111425298,1.9917103160511362,2.873430595854364,55.13467636891025,7.328056342858564,1804.0,4.042985200881958
log_polar_zf25,8,2.8950084339488638,4.17661431098975,18.083653957227334,0.7302227147138307,1.05348868926212,9.370919211884605,2.0755428101255693,1804.0,4.128010034561157
log_polar_zf25,10,2.300325448655765,3.318668117206352,9.977429067361182,0.1355397294207319,0.1955424954787217,1.2646943220184532,1.1451546912632085,1804.0,4.154444932937622
log_polar_zf50,6,4.003343806298504,5.775604256320398,54.78102124367367,1.8385580870634706,2.652478634592768,46.06828649833094,6.287465743514813,1804.0,4.103152513504028
log_polar_zf50,8,2.994103002442489,4.319577553534534,19.96744110860291,0.8293172832074558,1.1964519318069042,11.25470636326018,2.2917535873884174,1804.0,4.0784912109375
log_polar_zf50,10,2.382204313764551,3.436794349852414,10.828746529844649,0.21741859452951795,0.31366872812478386,2.1160117845019197,1.2428642494405107,1804.0,4.08707594871521
log_polar_zf75,6,4.652108270683204,6.71157353179319,104.80571162948533,2.487322551448171,3.58844791006556,96.0929768841426,12.02902586762529,1804.0,4.109562635421753
log_polar_zf75,8,4.3081254980252215,6.215311291528283,74.30108079806283,2.1433397787901884,3.092185669800653,65.5883460527201,8.527871325105982,1804.0,4.003159761428833
log_polar_zf75,10,3.4544702094304323,4.983747040043943,31.641520861591157,1.2896844901953992,1.8606214183163132,22.92878611624843,3.6316405567729113,1804.0,4.005986452102661
